date,rating,review,service_rating,food_rating
2024-01-06,5,Amazing atmosphere and delicious food,4,5
2024-01-04,4,Great coffee and friendly staff!,4,4
2024-01-01,4,Amazing atmosphere and delicious food,5,5
2024-01-08,4,"Love this place, always consistent quality",4,4
2024-01-08,1,Coffee was cold when served,3,2
2024-01-14,3,Good location but could improve service,2,2
2024-01-20,4,Great coffee and friendly staff!,4,5
2024-01-16,4,Amazing atmosphere and delicious food,4,5
2024-01-17,5,"Best café in the area, highly recommended",5,4
2024-01-27,4,Amazing atmosphere and delicious food,4,5
2024-01-27,4,Great coffee and friendly staff!,4,4
2024-01-24,2,Overpriced for the quality received,3,1
2024-01-24,3,"Decent coffee, nothing special",2,4
2024-01-25,3,"It's okay, might come back",3,3
2024-02-04,5,"Love this place, always consistent quality",5,5
2024-01-29,5,"Love this place, always consistent quality",5,5
2024-02-04,5,Amazing atmosphere and delicious food,5,4
2024-02-09,4,Amazing atmosphere and delicious food,4,4
2024-02-06,3,"Decent coffee, nothing special",4,3
2024-02-07,4,Perfect spot for morning coffee,4,4
2024-02-11,4,Great coffee and friendly staff!,4,5
2024-02-13,2,Long wait time and average food,1,2
2024-02-16,4,Perfect spot for morning coffee,5,4
2024-02-12,4,Perfect spot for morning coffee,4,5
2024-02-14,3,"It's okay, might come back",2,4
2024-02-22,4,Amazing atmosphere and delicious food,5,4
2024-02-24,3,"Fair prices, standard quality",2,3
2024-02-19,1,Coffee was cold when served,3,1
2024-02-20,3,Average café experience,3,2
2024-03-03,5,Amazing atmosphere and delicious food,5,5
2024-03-02,5,Amazing atmosphere and delicious food,4,4
2024-02-26,3,"Decent coffee, nothing special",3,2
2024-03-06,5,"Love this place, always consistent quality",4,5
2024-03-04,1,Long wait time and average food,3,2
2024-03-08,4,Amazing atmosphere and delicious food,4,5
2024-03-14,4,Great coffee and friendly staff!,5,4
2024-03-17,4,"Best café in the area, highly recommended",4,4
2024-03-11,5,Great coffee and friendly staff!,4,5
2024-03-18,2,Coffee was cold when served,2,2
2024-03-18,5,Perfect spot for morning coffee,5,4
2024-03-24,4,Great coffee and friendly staff!,5,4
2024-03-29,3,Good location but could improve service,2,4
2024-03-30,5,Great coffee and friendly staff!,5,4
2024-03-28,4,"Love this place, always consistent quality",4,4
2024-03-30,5,"Love this place, always consistent quality",5,4
2024-04-04,5,Great coffee and friendly staff!,5,5
2024-04-07,4,Great coffee and friendly staff!,5,5
2024-04-03,4,Perfect spot for morning coffee,4,5
2024-04-09,4,"Love this place, always consistent quality",4,4
2024-04-10,5,"Best café in the area, highly recommended",5,4
2024-04-11,4,Great coffee and friendly staff!,4,5
2024-04-18,4,"Best café in the area, highly recommended",5,5
2024-04-18,3,"It's okay, might come back",3,3
2024-04-20,4,"Best café in the area, highly recommended",4,4
2024-04-16,3,"Fair prices, standard quality",3,4
2024-04-22,4,"Love this place, always consistent quality",4,5
2024-04-28,3,"Decent coffee, nothing special",2,4
2024-04-25,3,Average café experience,3,2
2024-04-27,3,"It's okay, might come back",4,2
2024-04-25,4,"Love this place, always consistent quality",4,4
2024-05-03,4,"Love this place, always consistent quality",5,5
2024-05-05,5,"Love this place, always consistent quality",4,5
2024-04-29,3,Good location but could improve service,3,3
2024-04-29,5,Great coffee and friendly staff!,4,4
2024-05-11,3,Average café experience,3,3
2024-05-10,2,"Poor service, staff seemed uninterested",3,1
2024-05-12,3,"Decent coffee, nothing special",4,2
2024-05-13,3,"Decent coffee, nothing special",3,2
2024-05-19,5,Great coffee and friendly staff!,5,5
2024-05-14,5,Great coffee and friendly staff!,4,4
2024-05-24,3,Good location but could improve service,2,3
2024-05-20,5,Amazing atmosphere and delicious food,4,5
2024-05-25,3,Good location but could improve service,3,2
2024-05-22,4,"Love this place, always consistent quality",5,4
2024-05-21,2,"Poor service, staff seemed uninterested",1,3
2024-05-27,3,"Decent coffee, nothing special",3,4
2024-05-30,4,Perfect spot for morning coffee,4,4
2024-06-02,4,"Love this place, always consistent quality",4,5
2024-05-29,5,"Best café in the area, highly recommended",4,5
2024-06-08,1,"Poor service, staff seemed uninterested",3,1
2024-06-04,5,Perfect spot for morning coffee,4,5
2024-06-09,5,Amazing atmosphere and delicious food,5,5
2024-06-10,3,"Decent coffee, nothing special",3,3
2024-06-14,5,"Best café in the area, highly recommended",4,5
2024-06-10,4,Great coffee and friendly staff!,5,5
2024-06-15,4,Great coffee and friendly staff!,4,4
2024-06-21,4,Amazing atmosphere and delicious food,4,5
2024-06-17,4,Great coffee and friendly staff!,5,5
2024-06-23,1,Overpriced for the quality received,3,1
2024-06-21,4,"Love this place, always consistent quality",5,5
2024-06-19,5,Perfect spot for morning coffee,4,5
2024-06-24,3,"It's okay, might come back",3,3
2024-06-30,5,"Love this place, always consistent quality",5,5
2024-06-29,4,Amazing atmosphere and delicious food,5,4
2024-06-28,4,"Best café in the area, highly recommended",5,4
2024-06-25,2,Coffee was cold when served,2,1
2024-07-04,3,"Fair prices, standard quality",3,3
2024-07-03,1,Long wait time and average food,1,2
2024-07-04,4,"Love this place, always consistent quality",5,4
2024-07-09,5,"Love this place, always consistent quality",4,5
2024-07-12,4,"Love this place, always consistent quality",5,4
2024-07-12,4,Great coffee and friendly staff!,4,4
2024-07-14,4,Great coffee and friendly staff!,4,4
2024-07-17,4,Great coffee and friendly staff!,4,4
2024-07-19,3,Good location but could improve service,3,3
2024-07-20,5,"Love this place, always consistent quality",5,5
2024-07-21,3,"It's okay, might come back",2,3
2024-07-24,5,Perfect spot for morning coffee,5,5
2024-07-24,3,"Decent coffee, nothing special",4,3
2024-07-26,4,"Love this place, always consistent quality",4,5
2024-07-25,5,Perfect spot for morning coffee,4,4
2024-07-25,4,"Best café in the area, highly recommended",5,4
2024-07-30,4,"Best café in the area, highly recommended",5,4
2024-08-01,3,Average café experience,3,2
2024-07-30,4,Perfect spot for morning coffee,4,5
2024-08-05,4,"Best café in the area, highly recommended",5,4
2024-08-06,4,"Love this place, always consistent quality",4,5
2024-08-06,4,"Love this place, always consistent quality",4,4
2024-08-08,3,"Fair prices, standard quality",2,2
2024-08-12,5,Great coffee and friendly staff!,4,5
2024-08-18,3,"It's okay, might come back",4,4
2024-08-15,5,"Love this place, always consistent quality",4,5
2024-08-16,4,Amazing atmosphere and delicious food,5,5
2024-08-22,3,"Decent coffee, nothing special",2,3
2024-08-19,4,Perfect spot for morning coffee,4,5
2024-08-20,4,Perfect spot for morning coffee,5,5
2024-08-20,2,Overpriced for the quality received,2,2
2024-08-27,2,Long wait time and average food,2,2
2024-08-26,3,"Decent coffee, nothing special",2,4
2024-09-01,2,Overpriced for the quality received,1,2
2024-08-29,3,"Decent coffee, nothing special",2,2
2024-09-03,5,"Best café in the area, highly recommended",4,4
2024-09-07,1,"Noisy environment, hard to concentrate",2,3
2024-09-07,5,Perfect spot for morning coffee,4,5
2024-09-11,4,"Best café in the area, highly recommended",5,5
2024-09-15,5,Perfect spot for morning coffee,5,5
2024-09-09,2,"Noisy environment, hard to concentrate",1,3
2024-09-14,5,Amazing atmosphere and delicious food,4,4
2024-09-19,3,Average café experience,4,4
2024-09-16,5,Amazing atmosphere and delicious food,5,5
2024-09-18,4,"Love this place, always consistent quality",4,5
